Key,SF_ID-1,SF_ID-2,Customer Name,Street,City,State,Country.region,ZIP,FIPS,lat,long,SalesPerson,Count of YM,Max of YM,Min of YM,Current Customer,Months Since Last Purchase, TotalSales_L12M , SalesPerMonth ,Bucket
1011,00160000010Q5JrAAK,,Marinemax HQ,"2600 McCormick Dr, Ste 100",Clearwater,FL,USA,33759,12103,27.999265,-82.729506,Michael Dahl,12,201608,201509,1,0," $493,707 "," $41,142 ",1
1861,00160000010Q56LAAS,,Tracker Marine Group (TMG),"2500 East Kearney St  

ATTN:  Josh Petty",Springfield,MO,USA,65898,29077,37.239452,-93.245102,Michael Dahl,12,201608,201509,1,0," $432,000 "," $36,000 ",1
3741,00160000011W3y2AAC,,Universal McCann Detroit - RAM TRUCKS,205 Hamilton Row,Birmingham,MI,USA,48009,26125,42.547534,-83.21388,Ryan Klee,4,201607,201604,0,1," $125,000 "," $31,250 ",1
3641,00160000010Q7hLAAS,,POP Yachts International LLC,6384 Tower Lane Unit A,Sarasota,FL,USA,34240,12115,27.327738,-82.444086,Kirsteen Lankford,7,201608,201602,1,0," $175,000 "," $25,000 ",1
1144,00160000010Q5NbAAK,,Singleton Marine Group,6275 Lanier Island Pkwy,Buford,GA,USA,30518,13135,34.150405,-84.068097,Christopher Thomas,12,201608,201509,1,0," $249,709 "," $20,809 ",1
531,00160000010Q5dGAAS,,Denison Yacht Sales,"850 NE 3rd Street, Suite 205",Dania,FL,USA,33004,12011,26.057913,-80.129833,Michael Dahl,12,201608,201509,1,0," $239,171 "," $19,931 ",1
533,00160000010Q52GAAS,,HMY Yacht Sales Inc,817 NE 3rd Street,Dania,FL,USA,33004,12011,26.057912,-80.129916,Ryan Klee,12,201608,201509,1,0," $236,239 "," $19,687 ",1
3477,00160000010Q7hLAAS,,"POP Yachts International, LLC",6384 Tower Lane Unit A,Sarasota,FL,USA,34240,12115,27.327738,-82.444086,Kirsteen Lankford,4,201601,201510,0,7," $75,000 "," $18,750 ",1
1084,00160000010QGErAAO,,Boston Whaler,100 Whaler Way,Edgewater,FL,USA,32141,12127,28.921058,-80.872045,Patrick Sullivan,12,201608,201509,1,0," $218,126 "," $18,177 ",1
228,00160000010Q5jhAAC,,Sun Country Marine (Ontario CA),5051 Jurupa Ave,Ontario,CA,USA,91761,06071,34.048228,-117.543043,Courtney McManaway,12,201608,201509,1,0," $158,258 "," $13,188 ",1
833,00160000010Q4PkAAK,,Galati Yacht Sales - HQ,900 S. Bay Blvd.,Anna Maria,FL,USA,34216,12081,27.532303,-82.731031,Michael Dahl,12,201608,201509,1,0," $147,390 "," $12,283 ",1
3681,00160000010Q5bjAAC,,Yamaha Motor Corp - PWC,"1270 Chastain Road

Attn: Leslie Zlotnick",Kennesaw,GA,USA,30144,13067,34.056936,-84.629289,Charlie Jefferson,5,201607,201603,0,1," $51,836 "," $10,367 ",1
1008,00160000010QJLZAA4,,TUI Marine,93 North Park Place Blvd Clearwater,Clearwater,FL,USA,33759,12103,27.962677,-82.725164,Julian Gowing,12,201608,201509,1,0," $121,169 "," $10,097 ",1
2832,00160000010Q4goAAC,,Lake Union Sea Ray,3201 Fairview Ave E,Seattle,WA,USA,98102,53033,47.650728,-122.323322,Michael Dahl,12,201608,201509,1,0," $120,071 "," $10,006 ",1
3614,00160000010Q6yzAAC,,Geometry Global,"388 S Main St, Suite 410",Akron,OH,USA,44311,39153,41.075715,-81.522743,Charlie Jefferson,7,201608,201601,1,0," $68,525 "," $9,789 ",1
